GEO_ID,LINK,MAINT_STAG,ADDRESS,LFNAME,LONUM,LONUMSUF,HINUM,HINUMSUF,ARC_SIDE,DISTANCE,FCODE,FCODE_DES,CLASS,NAME,X,Y,LONGITUDE,LATITUDE,OBJECTID,MUN_NAME,NeighboodhoodID,WARD_NAME
7569438,7569522,REGULAR,876,Adelaide St W,876,,0,,R,38.540,112001,Commercial Location,Structure Entrance,,311806.3800,4833495.9560,-79.41296295790,43.64338054290,1745138,former Toronto,82,Trinity-Spadina (19)
30068678,14673880,REGULAR,80,Atlantic Ave,80,,0,,L,57.950,112001,Commercial Location,Structure,,311155.6250,4832982.8380,-79.42103163100,43.63875859100,3832929,former Toronto,85,Parkdale-High Park (14)
20233015,7929254,REGULAR,29,Bay St,29,,0,,R,41.730,112001,Commercial Location,Structure Entrance,,314681.4260,4833402.1720,-79.37732813480,43.64250289270,2092958,former Toronto,77,Toronto Centre-Rosedale (28)
20233014,7929254,REGULAR,31,Bay St,31,,0,,R,51.100,112001,Commercial Location,Structure Entrance,,314679.1060,4833411.2560,-79.37735671880,43.64258469230,2862963,former Toronto,77,Toronto Centre-Rosedale (28)
20233008,7929254,REGULAR,39,Bay St,39,,0,,R,92.720,112001,Commercial Location,Structure Entrance,,314669.0560,4833451.6520,-79.37748052310,43.64294844650,3003337,former Toronto,77,Toronto Centre-Rosedale (28)
20259075,7762728,REGULAR,820,Bay St,820,,0,,L,32.280,112001,Commercial Location,Structure Entrance,,313943.9460,4835545.3610,-79.38643254740,43.66180346260,2647684,former Toronto,76,Toronto Centre-Rosedale (27)
768411,1143400,REGULAR,875,Bay St,875,,0,,R,20.840,112001,Commercial Location,Structure Entrance,,313962.2020,4835646.9730,-79.38620447310,43.66271789590,1763560,former Toronto,76,Toronto Centre-Rosedale (27)
14050663,1143400,REGULAR,895,Bay St,895,,0,,R,74.300,112001,Commercial Location,Structure Entrance,,313946.5100,4835698.0830,-79.38639817350,43.66317816890,2549360,former Toronto,76,Toronto Centre-Rosedale (27)
14191071,30014022,REGULAR,917,Bay St,917,,0,,R,36.350,112001,Commercial Location,Structure Entrance,,313937.5960,4835763.3970,-79.38650760390,43.66376621310,2096787,former Toronto,76,Toronto Centre-Rosedale (27)
14639618,10664090,REGULAR,1278,Bay St,1278,,0,,L,29.860,112001,Commercial Location,Structure Entrance,,313610.8470,4836629.9620,-79.39054505540,43.67157053080,1612898,former Toronto,95,Toronto Centre-Rosedale (27)
14075161,1144870,REGULAR,95,Berkeley St,95,,0,,R,62.190,112001,Commercial Location,Structure Entrance,,315702.3100,4834637.9520,-79.36464607000,43.65360357500,4141861,former Toronto,73,Toronto Centre-Rosedale (28)
30039253,8536355,REGULAR,407,Bloor St E,407,,0,,R,159.930,112001,Commercial Location,Structure,,314697.0420,4836688.2600,-79.37707097400,43.67207309100,3816834,former Toronto,74,Toronto Centre-Rosedale (27)
